userId,movieId,rating
1,3578,5
1,1127,4
1,157,5
1,2617,2
1,260,5
1,3053,5
1,457,5
1,2997,4
1,2406,4
2,2058,5
2,122882,5
2,80906,5
2,74458,4
2,106782,5
2,58559,4.5
2,60756,5
2,99114,3.5
2,318,3
2,115713,3.5
2,77455,3
3,6835,5
3,26409,4.5
3,720,0.5
3,1371,3
3,5764,4.5
3,4518,5
3,914,0.5
3,5048,0.5
3,3703,5
3,2018,0.5
4,4239,5
4,4896,4
4,2390,5
4,3489,1
4,232,5
4,1883,4
4,3809,3
4,1179,4
4,4273,4
5,2395,3
5,590,5
5,364,3
5,367,4
5,589,3
5,534,3
5,595,5
5,39,3
5,253,3
5,150,3
5,36,4
6,296,2
6,62,4
6,508,4
6,146,4
6,609,4
6,466,2
6,43,4
6,13,3
6,569,4
6,510,3
7,4370,4.5
7,48997,2.5
7,7143,4.5
7,5459,3
7,34048,3
7,42002,4.5
7,1219,5
7,589,2.5
7,780,4.5
7,595,3.5
8,356,3
8,527,5
8,339,3
8,590,5
8,317,3
8,457,3
8,153,2
8,252,3
8,32,3
8,318,5
9,5952,5
9,5218,4
9,5378,3
9,6001,4
9,5890,4
9,5962,1
9,627,3
9,1987,2
9,1095,4
9,371,3
10,88810,3
10,54286,3.5
10,6377,3.5
10,97938,1
10,7458,5
10,2671,3.5
10,68954,4
10,56949,3
10,84374,3.5
